NUMERO;NPER;SECC;SEGM;NOMBARRIO;Estrato;Sexo;Edad;E45_1;E45_2;E45_3;Fuma?;E190_1;E190_1_1;E190_2;E190_2_1;E190_3;E190_3_1;E191;E192;E197_1;E212_1;E215_1;E60 (Celular);F66 (Trabajo);F73;F74;F85 (Horas);G126_1 (Sueldo);G_ITND_1;G142;G_IT_1 (jubil);G_IT_2 (pensionistas);POBPCOAC (cond act eco);PT1 (TOTAL DE INGRESOS PERSONALES)
2018049707;2;1;104;Centro;3;2;32;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;40;25000;2;0;2;2;2;46958
2018036466;2;1;104;Centro;3;2;34;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;40;24000;2;0;2;2;2;47958
2018049707;1;1;104;Centro;3;1;37;2;1;2;1;1;1;2;0;2;0;1;5;1;2;0;1;2;1;0;30;35000;2;0;2;2;2;55408
2018057779;1;1;104;Centro;3;1;43;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;2;2;7;0
2018014842;1;1;104;Centro;3;2;45;2;1;2;4;0;0;0;0;0;0;0;5;1;1;1;1;1;1;0;35;32000;2;0;2;2;2;73613
2018030368;1;1;104;Centro;3;1;59;2;1;2;1;1;1;2;0;2;0;1;1;1;2;0;1;2;0;0;0;0;2;0;2;2;4;0
2018026881;1;1;104;Centro;3;1;60;2;2;2;4;0;0;0;0;0;0;0;5;1;1;0;1;1;6;0;40;0;1;15000;2;2;2;15000
2018001539;2;1;104;Centro;3;2;76;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;6;0
2018001539;1;1;104;Centro;3;1;80;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;1;2;10;40000
2018004954;1;1;104;Centro;3;2;87;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;2;2;0;0;0;0;2;0;1;2;10;16500
2018050870;1;1;104;Centro;3;2;88;2;1;2;4;0;0;0;0;0;0;0;5;2;0;0;2;2;0;0;0;0;2;0;1;1;10;39076
2018032527;2;1;105;Centro;4;2;10;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
2018004457;3;1;105;Centro;4;1;12;2;2;1;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
2018012561;2;1;105;Centro;4;1;14;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;7;12000
2018021668;5;1;105;Centro;4;1;14;1;2;2;4;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;2;0;2;2;7;0
2018006152;3;1;105;Centro;4;1;17;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;7;0
2018021668;4;1;105;Centro;4;1;18;1;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;7;0
2018021668;3;1;105;Centro;4;1;19;1;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;3;0
2018034207;2;1;105;Centro;4;1;20;2;1;2;3;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;48;15800;2;0;2;2;2;19913
2018021668;2;1;105;Centro;4;2;21;1;2;2;4;0;0;0;0;0;0;0;0;1;2;0;1;1;1;0;20;7500;2;0;2;2;2;9738
2018048984;3;1;105;Centro;4;1;22;2;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;48;27000;2;0;2;2;2;29024
2018006152;1;1;105;Centro;4;2;24;2;1;2;4;0;0;0;0;0;0;0;5;1;1;0;1;1;2;3;40;39000;2;0;2;2;2;43054
2018048984;1;1;105;Centro;4;1;25;2;2;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;2;1;48;27000;2;0;2;2;2;29024
2018048984;2;1;105;Centro;4;2;25;2;1;2;4;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;40;16700;2;0;2;2;2;18724
2018013449;1;1;105;Centro;4;2;27;2;1;2;4;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;48;21500;2;0;2;2;2;25793
2018013449;2;1;105;Centro;4;2;27;2;1;2;1;2;0;1;1;2;0;2;0;1;2;0;2;2;0;0;0;6000;2;0;2;2;4;6000
2018034918;2;1;105;Centro;4;1;27;2;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;20;6000;2;0;2;2;2;6500
2018021636;2;1;105;Centro;4;2;30;2;1;2;4;0;0;0;0;0;0;0;0;1;0;2;1;1;1;0;36;14200;2;0;2;2;2;17224
2018034207;1;1;105;Centro;4;2;30;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;48;25800;2;0;2;2;2;31313
2018035428;1;1;105;Centro;4;1;30;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;42;18000;2;0;2;2;2;37958
2018006152;2;1;105;Centro;4;1;32;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;6;0;50;0;1;35000;2;2;2;37054
2018037951;2;1;105;Centro;4;1;33;1;2;2;3;0;0;0;0;0;0;0;0;1;0;0;1;1;6;0;30;0;1;30000;2;2;2;30000
2018039518;3;1;105;Centro;4;2;33;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;30;25000;2;0;2;2;2;42458
2018039518;4;1;105;Centro;4;2;33;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;30;30000;2;0;2;2;2;61958
2018029155;1;1;105;Centro;4;1;37;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;40;28000;2;0;2;2;2;30013
2018033711;2;1;105;Centro;4;2;37;2;1;2;1;1;1;2;0;2;0;2;0;1;2;0;1;1;1;0;40;42000;2;0;2;2;2;46524
2018014890;2;1;105;Centro;4;2;38;2;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;40;24000;2;0;2;2;2;31013
2018033711;1;1;105;Centro;4;1;40;2;1;2;1;1;2;2;0;2;0;3;5;1;0;0;1;1;6;0;35;0;1;22000;2;2;2;24024
2018004457;1;1;105;Centro;4;1;41;2;2;1;4;0;0;0;0;0;0;0;5;1;0;0;1;1;4;0;70;0;1;300000;2;2;2;350000
2018004457;2;1;105;Centro;4;2;41;2;2;1;4;0;0;0;0;0;0;0;0;1;0;0;1;1;6;0;40;0;1;80000;2;2;2;96667
2018021636;1;1;105;Centro;4;1;41;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;40;36000;2;0;2;2;2;39464
2018012561;1;1;105;Centro;4;2;42;1;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;6;0;4;0;1;8000;2;2;2;14600
2018023626;1;1;105;Centro;4;2;42;2;2;1;3;0;0;0;0;0;0;0;4;1;0;0;1;2;6;0;13;7000;1;10000;2;2;2;21958
2018037951;1;1;105;Centro;4;2;43;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;50;60000;2;0;2;2;2;62475
2018023626;2;1;105;Centro;4;2;47;2;1;2;4;0;0;0;0;0;0;0;0;1;1;0;1;2;1;0;40;35000;2;0;2;2;2;71958
2018032527;1;1;105;Centro;4;2;47;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;2;3;48;38000;2;0;2;2;2;65958
2018013763;1;1;105;Centro;4;2;48;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;2;1;30;25800;1;29000;2;2;2;68837
2018020367;1;1;105;Centro;4;1;48;2;1;2;4;0;0;0;0;0;0;0;5;1;1;0;1;1;6;0;60;0;1;40000;2;2;2;40000
2018012653;1;1;105;Centro;4;1;49;2;1;2;3;0;0;0;0;0;0;0;5;1;2;0;1;1;6;0;40;0;1;20000;2;2;2;20000
2018012653;2;1;105;Centro;4;2;50;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;46;26000;2;0;2;2;2;28058
2018021668;1;1;105;Centro;4;2;50;1;2;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;5;0;8;0;1;4000;2;1;2;50000
2018054010;1;1;105;Centro;4;2;50;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;50;18000;2;0;2;2;2;29217
2018045812;2;1;105;Centro;4;1;53;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;44;27200;2;0;2;2;2;29237
2018022134;1;1;105;Centro;4;1;54;2;1;2;1;1;1;2;0;2;0;2;1;1;0;0;1;1;2;4;30;50000;2;0;2;2;2;82058
2018023172;1;1;105;Centro;4;2;56;2;1;2;4;0;0;0;0;0;0;0;5;1;2;0;1;1;2;3;48;45000;2;0;2;2;2;47424
2018027440;1;1;105;Centro;4;2;58;2;1;2;3;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;44;50000;2;0;2;2;2;54417
